Humidity,Wind Speed (km/h),Visibility (km),Emission Rate,Start Size,UserIntensity
1.0,11.0929,0.483,10000.0,1.0,15.0
0.96,10.7387,0.322,9620.0,0.972,14.399999999999999
1.0,7.0679,0.161,10000.0,1.0,15.0
1.0,9.499,0.161,10000.0,1.0,15.0
1.0,9.4346,0.322,10000.0,1.0,15.0
1.0,9.7083,0.161,10000.0,1.0,15.0
0.93,10.9319,0.322,9335.0,0.9510000000000001,13.950000000000001
1.0,9.3541,0.322,10000.0,1.0,15.0
1.0,9.4024,0.3059,10000.0,1.0,15.0
1.0,11.27,0.161,10000.0,1.0,15.0
0.96,14.2646,0.322,9620.0,0.972,14.399999999999999
1.0,10.9319,0.322,10000.0,1.0,15.0
1.0,11.0285,0.322,10000.0,1.0,15.0
0.97,5.361300000000001,0.161,9715.0,0.9789999999999999,14.549999999999999
0.97,13.846,0.3059,9715.0,0.9789999999999999,14.549999999999999
1.0,15.8424,0.6279,10000.0,1.0,15.0
1.0,15.633100000000002,0.483,10000.0,1.0,15.0
1.0,16.3898,0.3059,10000.0,1.0,15.0
1.0,14.1358,0.7889,10000.0,1.0,15.0
1.0,12.525800000000002,0.6279,10000.0,1.0,15.0
0.94,12.7512,0.7084,9430.0,0.958,14.1
1.0,14.1358,1.8837,10000.0,1.0,15.0
1.0,11.0285,2.9785000000000004,10000.0,1.0,15.0
0.93,10.9319,0.4025,9335.0,0.9510000000000001,13.950000000000001
1.0,11.27,0.2415,10000.0,1.0,15.0
1.0,9.499,0.1932,10000.0,1.0,15.0
1.0,10.980200000000002,0.1771,10000.0,1.0,15.0
0.97,10.948,0.1771,9715.0,0.9789999999999999,14.549999999999999
1.0,11.0607,0.1771,10000.0,1.0,15.0
0.96,3.2683,0.161,9620.0,0.972,14.399999999999999
1.0,2.4472,0.161,10000.0,1.0,15.0
0.96,3.22,0.161,9620.0,0.972,14.399999999999999
0.96,3.2039,0.161,9620.0,0.972,14.399999999999999
0.96,6.1824,0.161,9620.0,0.972,14.399999999999999
0.93,11.0285,0.161,9335.0,0.9510000000000001,13.950000000000001
0.93,10.851400000000002,0.161,9335.0,0.9510000000000001,13.950000000000001
1.0,8.2754,0.161,10000.0,1.0,15.0
1.0,3.2361,0.0161,10000.0,1.0,15.0
1.0,4.6851,0.0161,10000.0,1.0,15.0
0.99,5.474,0.161,9905.0,0.9929999999999999,14.85
1.0,4.83,0.161,10000.0,1.0,15.0
1.0,3.22,0.161,10000.0,1.0,15.0
0.93,0.9982,0.1771,9335.0,0.9510000000000001,13.950000000000001
1.0,1.6744,0.6762,10000.0,1.0,15.0
1.0,3.1395,0.6440000000000001,10000.0,1.0,15.0
1.0,0.7245,0.5474000000000001,10000.0,1.0,15.0
0.93,3.22,0.322,9335.0,0.9510000000000001,13.950000000000001
0.93,3.22,0.161,9335.0,0.9510000000000001,13.950000000000001
1.0,1.0626000000000002,0.161,10000.0,1.0,15.0
1.0,0.1288,0.161,10000.0,1.0,15.0
1.0,3.1073,0.161,10000.0,1.0,15.0
0.97,2.8336,0.161,9715.0,0.9789999999999999,14.549999999999999
0.96,3.1878,0.161,9620.0,0.972,14.399999999999999
0.96,3.22,0.161,9620.0,0.972,14.399999999999999
0.99,5.0876,0.161,9905.0,0.9929999999999999,14.85
1.0,3.1717,0.161,10000.0,1.0,15.0
0.96,3.1717,0.161,9620.0,0.972,14.399999999999999
1.0,3.4132,0.161,10000.0,1.0,15.0
0.93,1.5295,0.161,9335.0,0.9510000000000001,13.950000000000001
1.0,0.0,0.161,10000.0,1.0,15.0
0.99,5.8121,0.161,9905.0,0.9929999999999999,14.85
1.0,0.0,0.0,10000.0,1.0,15.0
1.0,3.22,0.0,10000.0,1.0,15.0
0.93,4.379200000000001,0.0483,9335.0,0.9510000000000001,13.950000000000001
0.93,7.824600000000001,0.0322,9335.0,0.9510000000000001,13.950000000000001
1.0,4.7012,0.0322,10000.0,1.0,15.0
